Entity Type,USDOT Number,USDOT Status,MCS-150 Mileage Year,MCS-150 Form Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,URL,Error
CARRIER  ,1366222 ,ACTIVE  ,"10,000 (2005) ",04/28/2005 ,A&T PLUMBING AND HEATING , ,"65 JOE NESTER
EDGEWOOD, NM   87015  ",(505) 281-1700  ,"PO BOX 1780
EDGEWOOD, NM   87015  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1366222&original_query_string=A&T PLUMBING AND HEATING,N/A
CARRIER  ,1755767 ,ACTIVE  , ,07/23/2008 ,ABB LLC ,ABB TRUCKING COMPANY ,"3285 DENTON STREET
TUSCUMBIA, AL   35611  ",(256) 457-6321  ,"PO BOX 2084
MUSCLE SHOALS, AL   35611  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1755767&original_query_string=ABB TRUCKING COMPANY,N/A
CARRIER  ,2905756 ,OUT-OF-SERVICE  ,"50,000 (2021) ",07/23/2024 ,ACTION EMERGENCY MANAGEMENT SERVICES INC , ,"1087 BROADWAY
REVERE, MA   02151  ",(781) 286-3900  ,"1087 BROADWAY
REVERE, MA   02151  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2905756&original_query_string=ACTION EMERGENCY MANAGEMENT SERVICES INC,N/A
CARRIER  ,2069013 ,ACTIVE  , ,08/24/2010 ,ADVANCED WINDOW AND DOOR SYSTEMS INC , ,"11 CHAPEL WOODS CT
WILLIAMSVILLE, NY   14221  ",(716) 688-4228  ,"11 CHAPEL WOODS CT
WILLIAMSVILLE, NY   14221  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2069013&original_query_string=ADVANCED WINDOW AND DOOR SYSTEMS INC,N/A
CARRIER  ,1283764 ,ACTIVE  , ,08/24/2004 ,ADVANTAGE TRUCK & TRAILER REPAIR INC , ,"1111 W 48TH STREET
CHICAGO, IL   60609  ",(773) 247-2222  ,"1111 W 48TH STREET
CHICAGO, IL   60609  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1283764&original_query_string=ADVANTAGE TRUCK & TRAILER REPAIR INC,N/A
CARRIER  ,1116367 ,ACTIVE  , ,04/08/2003 ,BRIAN LEE STEPKA ,ADVANTAGE TRUCKING ,"278 MAE ROSE AVE
HOLLAND, MI   49424  ",(616) 218-8544  ,"278 MAE ROSE AVE
HOLLAND, MI   49424  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1116367&original_query_string=ADVANTAGE TRUCKING,N/A
SHIPPER  ,554320 ,ACTIVE  , , ,AIKEN CHEMICAL COMPANY INC , ,"3998 PELHAM COURT
GREER, SC   29651  ",(803) 234-7890  ,"PO BOX 1904
GREENVILLE, SC   29602  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=554320&original_query_string=AIKEN CHEMICAL COMPANY INC,N/A
CARRIER  ,1345693 ,ACTIVE  ,"15,000 (2021) ",01/19/2023 ,SHEAHAN INC ,AL'S EXCAVATING AND SHEAHAN FARMS ,"W1372 SHEAHAN RD
NELSON, WI   54756  ",(715) 946-3327  ,"S890 ARNOLDS DR
NELSON, WI   54756  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1345693&original_query_string=AL'S EXCAVATING AND SHEAHAN FARMS,N/A
CARRIER  ,1435593 ,ACTIVE  ,"200,000 (2024) ",03/12/2024 ,FAWAZ ISMAIL ,ALAMO FLAG COMPANY ,"100 WEST JEFFERSON ST #101
FALLS CHURCH, VA   22046  ",(703) 534-8158  ,"100 WEST JEFFERSON ST #101
FALLS CHURCH, VA   22046  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1435593&original_query_string=ALAMO FLAG COMPANY,N/A
CARRIER  ,920372 ,ACTIVE  , ,01/27/2001 ,ALAN RAY TRUCKING , ,"2781 RHAPSODY STREET NE
PALM BAY, FL   32905  ",(321) 725-9968  ,"2781 RHAPSODY STREET NE
PALM BAY, FL   32905  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=920372&original_query_string=ALAN RAY TRUCKING,N/A
CARRIER  ,3308928 ,ACTIVE  ,"12,568 (2022) ",05/15/2024 ,ALCANTAR TRUCKLINE CORP , ,"3772 1/2 BOSTON AVE
SAN DIEGO, CA   92113  ",(619) 395-2987  ,"2498 ROLL DR 1319
SAN DIEGO, CA   92154  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3308928&original_query_string=ALCANTAR TRUCKLINE CORP,N/A
CARRIER  ,3080764 ,ACTIVE  ,"80,000 (2023) ",08/26/2024 ,ALCIDES GRANADOS , ,"17575 OWEN ST
FONTANAN, CA   92335  ",(323) 715-5902  ,"17575 OWEN ST
FONTANAN, CA   92335  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3080764&original_query_string=ALCIDES GRANADOS,N/A
CARRIER  ,2071505 ,ACTIVE  ,"65,000 (2010) ",08/31/2010 ,ALEJANDRO BURCIAGA , ,"535 SOUTH SCOTT ST
ADRIAN, MI   49221  ",(517) 265-3276  ,"535 SOUTH SCOTT ST
ADRIAN, MI   49221  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2071505&original_query_string=ALEJANDRO BURCIAGA,N/A
CARRIER  ,2749001 ,ACTIVE  , , ,ALEXANDER GOLDENBERG , ,"4478 W PICO BLVD
LOS ANGELES, CA   90019  ",(323) 937-1743  ,"4478 W PICO BLVD
LOS ANGELES, CA   90019  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2749001&original_query_string=ALEXANDER GOLDENBERG,N/A
CARRIER  ,867708 ,ACTIVE  ,"40,000 (1999) ", ,ALL WORLD FARMS INC ,ALL AMERIWORLD TRANSFER ,"1180 S POWERLINE RD STE # 208
POMPANO BEACH, FL   33063  ",(954) 788-0300  ,"1180 S POWERLINE RD STE # 208
POMPANO BEACH, FL   33063  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=867708&original_query_string=ALL AMERIWORLD TRANSFER,N/A
CARRIER  ,793619 ,ACTIVE  , , ,ALLAN ROEHRS , ,"104 RD 16
BRADSHAW, NE   68319  ",(402) 725-3212  ,"104 RD 16
BRADSHAW, NE   68319  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=793619&original_query_string=ALLAN ROEHRS,N/A
CARRIER  ,3086584 ,ACTIVE  ,1 (2023) ,08/30/2024 ,ALPHA EXPRESS NEW ENGLAND INC , ,"100 TOWER ST APT 308
HUDSON, MA   01749  ",(508) 326-1762  ,"100 TOWER ST APT 308
HUDSON, MA   01749  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3086584&original_query_string=ALPHA EXPRESS NEW ENGLAND INC,N/A
CARRIER  ,2774644 ,ACTIVE  , , ,RICHARD R ROSALES ,AMBASSADOR TRANSPORT ,"4735 E WELDON AVE
FRESNO, CA   93703  ",(559) 455-3386  ,"4735 E WELDON AVE
FRESNO, CA   93703  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2774644&original_query_string=AMBASSADOR TRANSPORT,N/A
SHIPPER  ,414847 ,ACTIVE  , , ,AMERICAN CYLINDER INC , ,"190 PENROD CT
GLEN BURNIE, MD   21061-2838  ", ,"190 PENROD CT
GLEN BURNIE, MD   21061-2838  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=414847&original_query_string=AMERICAN CYLINDER INC,N/A
CARRIER  ,1014530 ,ACTIVE  , ,03/20/2002 ,AMERICAN EARTH MOVERS LLC , ,"3 COMMERCE BLVD
PALM COAST, FL   32164  ",(386) 447-2995  ,"3 COMMERCE BLVD
PALM COAST, FL   32164  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1014530&original_query_string=AMERICAN EARTH MOVERS LLC,N/A
CARRIER  ,776444 ,ACTIVE  , , ,AMERICAN EXCAVATING , ,"8909 W 300 N
SHIRLEY, IN   47384  ",(765) 779-4453  ,"8909 W 300 N
SHIRLEY, IN   47384  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=776444&original_query_string=AMERICAN EXCAVATING,N/A
CARGO TANK  ,2787297 ,ACTIVE  , ,08/03/2015 ,KEITH ATWOOD ,AMERICAN FLEET DIAGNOSTICS ,"3808 LONGLEAF LANE
FORT WORTH, TX   76137  ",(682) 559-8543  ,"4360 WESTERN CENTER BLVD #228
FORT WORTH, TX   76137  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2787297&original_query_string=AMERICAN FLEET DIAGNOSTICS,N/A
SHIPPER  ,1126725 ,ACTIVE  , ,05/07/2003 ,AMERICAN HOTEL REGISTER COMPANY , ,"11754 CABARNET DRIVE
FONTANA, CA   92337  ", ,"11754 CABARNET DRIVE
FONTANA, CA   92337  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1126725&original_query_string=AMERICAN HOTEL REGISTER COMPANY,N/A
SHIPPER  ,431048 ,ACTIVE  , , ,AMERICAN LITHO , ,"4155 DANVERS CT SE
GRAND RAPIDS, MI   49512-4041  ",(616) 957-2650  ,"4155 DANVERS CT SE
GRAND RAPIDS, MI   49512-4041  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=431048&original_query_string=AMERICAN LITHO,N/A
CARRIER  ,3219664 ,ACTIVE  , ,12/10/2018 ,AMERICAN MADE MOVING COMPANY , ,"1100 S LOOP 336 W APT 3221
CONROE, TX   77304-3335  ",(832) 548-4950  ,"PO BOX 1784
CONROE, TX   77305-1784  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3219664&original_query_string=AMERICAN MADE MOVING COMPANY,N/A
CARRIER  ,803354 ,ACTIVE  , , ,AMERICAN MAPS IMPORT EXPORT INC , ,"4757 CITRUS WAY
COOPER CITY, FL   33330-8811  ",(954) 680-2513  ,"4757 CITRUS WAY
COOPER CITY, FL   33330-8811  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=803354&original_query_string=AMERICAN MAPS IMPORT EXPORT INC,N/A
CARRIER  ,1442287 ,ACTIVE  , ,12/12/2005 ,TIMOTHY MCLAUGHLIN ,AMERICAN MILLWORK INC ,"850D GRAND BLVD
DEER PARK, NY   11729  ",(631) 243-3100  ,"850D GRAND BLVD
DEER PARK, NY   11729  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1442287&original_query_string=AMERICAN MILLWORK INC,N/A
CARRIER  ,742492 ,ACTIVE  , ,06/22/2010 ,JOSHUA E BUTTS ,AMERICAN TOWING & RECOVERY EXPERTS ,"40 EAST 300 SOUTH SP #35
AMERICAN FORK, UT   84003  ",(801) 330-5950  ,"PO BOX 963
OREM, UT   84057  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=742492&original_query_string=AMERICAN TOWING & RECOVERY EXPERTS,N/A
CARRIER  ,810007 ,ACTIVE  ,"10,000 (1998) ", ,AMERICAN UNDERGROUND UTILITIES INC , ,"225 SOUTH AIRPORT ROAD
NAPLES, FL   34104  ",(094) 164-3192  ,"225 SOUTH AIRPORT ROAD
NAPLES, FL   34104  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=810007&original_query_string=AMERICAN UNDERGROUND UTILITIES INC,N/A
CARRIER  ,2047427 ,ACTIVE  , ,06/20/2010 ,AMERICAN WIDGET COMPANY ,AWC ,"122 S RIPLEY ST
ALPENA, MI   49707  ",(989) 916-5980  ,"122 S RIPLEY ST
ALPENA, MI   49707  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2047427&original_query_string=AMERICAN WIDGET COMPANY,N/A
CARRIER  ,2066330 ,ACTIVE  ,"439,245 (2023) ",09/04/2024 ,AMRIT TRANS CARRIER INC , ,"3713 MOUNT CELESTE CT
BAKERSFIELD, CA   93313  ",(732) 763-8442  ,"3713 MOUNT CELESTE CT
BAKERSFIELD, CA   93313  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2066330&original_query_string=AMRIT TRANS CARRIER INC,N/A
CARRIER  ,754210 ,ACTIVE  ,"18,000 (1997) ", ,ANDERSON INTERIOR SYSTEMS INC , ,"10430 E 900 N
LAFAYETTE, IN   47905  ",(765) 564-4241  ,"10430 E 900 N
LAFAYETTE, IN   47905  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=754210&original_query_string=ANDERSON INTERIOR SYSTEMS INC,N/A
CARRIER  ,1545473 ,ACTIVE  ,"161,912 (2006) ",08/22/2006 ,SUNSET BAY RATTAN INC ,ANDREA BASKETS ,"1401 LAKELAND AVE
BOHEMIA, NY   11716  ",(631) 231-4888  ,"1401 LAKELAND AVE
BOHEMIA, NY   11716  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1545473&original_query_string=ANDREA BASKETS,N/A
CARRIER  ,880794 ,ACTIVE  ,"10,000 (1999) ", ,ANDREINA T DELGADO ,R & A TRUCKING ,"2517 STRATFORD UPON AVON BLVD
ORLANDO, FL   32837  ",(407) 852-3983  ,"2517 STRATFORD UPON AVON BLVD
ORLANDO, FL   32837  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=880794&original_query_string=ANDREINA T DELGADO,N/A
CARRIER  ,1522886 ,ACTIVE  , ,04/12/2006 ,ANDREW & DAWSON , ,"1709 FOREST AVE
MONTGOMERY, AL   36106  ",(334) 269-1891  ,"1709 FOREST AVE
MONTGOMERY, AL   36106  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1522886&original_query_string=ANDREW & DAWSON,N/A
CARRIER  ,2606932 ,ACTIVE  , , ,ANDREW PAPANICOLAOU , ,"3130 PASEO MERCADO #101
OXNARD, CA   93036  ",(805) 604-0909  ,"3130 PASEO MERCADO #101
OXNARD, CA   93036  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2606932&original_query_string=ANDREW PAPANICOLAOU,N/A
CARRIER  ,1646941 ,ACTIVE  , ,05/21/2007 ,ANDY LEITTEN ,TAGG CONSTRUCTION GROUP LLC ,"74 NORTH STREET
LEROY, NY   14482  ",(585) 343-3640  ,"74 NORTH STREET
LEROY, NY   14482  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1646941&original_query_string=ANDY LEITTEN,N/A
CARRIER  ,3492842 ,ACTIVE  , ,09/23/2020 ,ANGELA CARTER ,PEACH STATE TRANSPATION ,"718 BEALE ST
AMERICUS, GA   31709-3927  ",(229) 942-3884  ,"718 BEALE ST
AMERICUS, GA   31709-3927  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3492842&original_query_string=ANGELA CARTER,N/A
CARRIER  ,1319543 ,ACTIVE  , ,01/07/2005 ,ANGELICA SANDOVAL , ,"NALLS RD LOT 4
CLEWSTON, FL   33440  ",(863) 599-9073  ,"NALLS RD LOT 4
CLEWSTON, FL   33440  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1319543&original_query_string=ANGELICA SANDOVAL,N/A
CARRIER  ,3142706 ,ACTIVE  ,"102,418 (2023) ",04/09/2024 ,ANOTHER LEVEL OF TRANSPORTATION SERVICES LLC , ,"1326 W HADLEY ST
PHOENIX, AZ   85007  ",(602) 434-8457  ,"6635 W HAPPY VALLEY RD 104/172
GLENDALE, AZ   85310  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3142706&original_query_string=ANOTHER LEVEL OF TRANSPORTATION SERVICES LLC,N/A
CARRIER  ,1028439 ,ACTIVE  , ,05/01/2002 ,ANTHONY BROTHERS INC , ,"246 PINTO LANE
ORMONO BEACH, FL   32174  ",(386) 671-0737  ,"246 PINTO LANE
ORMONO BEACH, FL   32174  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1028439&original_query_string=ANTHONY BROTHERS INC,N/A
CARRIER  ,2030266 ,ACTIVE  , ,05/05/2010 ,ASPRASCAPE INCORPORATED ,ANTHONY CAMBARERI ,"59 LAKESIDE DR
KATONAH, NY   10536  ",(914) 232-8096  ,"59 LAKESIDE DR
KATONAH, NY   10536  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2030266&original_query_string=ANTHONY CAMBARERI,N/A
CARRIER  ,1501906 ,ACTIVE  , ,05/16/2006 ,ANTHONY R COLE ,ANTHONY COLE CONSTRUCTION ,"HC 71 BOX 65
ASBURY, WV   24916  ",(304) 645-2055  ,"HC 71 BOX 65
ASBURY, WV   24916  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1501906&original_query_string=ANTHONY COLE CONSTRUCTION,N/A
CARRIER  ,2568149 ,ACTIVE  ,"130,000 (2015) ",09/04/2024 ,ANTHONY KIRCHHOFF ,KIRCHHOFF FARMS ,"1426 W 700 RD
STUTTGART, KS   67661-9561  ",(785) 543-8582  ,"1426 W 700 RD
STUTTGART, KS   67661-9561  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2568149&original_query_string=ANTHONY KIRCHHOFF,N/A
CARRIER  ,1117369 ,ACTIVE  ,"4,000 (2002) ",04/10/2003 ,ANTHONY PEPPE ,A A PEPPE TIMBER PRODUCTS ,"5 SOUTH MAIN STREET
MORAVIA, NY   13118  ",(315) 497-1760  ,"5 SOUTH MAIN STREET
MORAVIA, NY   13118  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1117369&original_query_string=ANTHONY PEPPE,N/A
CARRIER  ,1501906 ,ACTIVE  , ,05/16/2006 ,ANTHONY R COLE ,ANTHONY COLE CONSTRUCTION ,"HC 71 BOX 65
ASBURY, WV   24916  ",(304) 645-2055  ,"HC 71 BOX 65
ASBURY, WV   24916  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1501906&original_query_string=ANTHONY R COLE,N/A
CARRIER  ,744407 ,ACTIVE  , , ,ANTHONY WELL DRILLING & PUMPS INC , ,"19156 S PEASE RD
OREGON CITY, OR   97045  ",(503) 655-3140  ,"19156 S PEASE RD
OREGON CITY, OR   97045  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=744407&original_query_string=ANTHONY WELL DRILLING & PUMPS INC,N/A
CARRIER  ,814879 ,ACTIVE  ,"35,000 (1998) ", ,ANTIOCH FARM FEED & GRAIN CO ,UNITED STATES FEED & GRAIN CO ,"4401 NORHT COOPER ROAD
PLANT CITY, FL   33565  ",(813) 986-1861  ,"4401 NORHT COOPER ROAD
PLANT CITY, FL   33565  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=814879&original_query_string=ANTIOCH FARM FEED & GRAIN CO,N/A
CARRIER  ,1901074 ,ACTIVE  ,"110,000 (2009) ",06/11/2009 ,ANTONINO LEGATO LANDSCAPING LLC , ,"2971 GOMER ST
YORKTOWN HEIGHTS, NY   10598  ",(914) 245-6168  ,"2971 GOMER ST
YORKTOWN HEIGHTS, NY   10598  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1901074&original_query_string=ANTONINO LEGATO LANDSCAPING LLC,N/A
CARRIER  ,3326922 ,ACTIVE  ,"40,000 (2021) ",10/24/2022 ,ANTONIO DE JESUS HERNANDEZ GUTIERREZ , ,"7882 YORKSHIRE AVE
STANTON, CA   90680-3549  ",(657) 256-8497  ,"7882 YORKSHIRE AVE
STANTON, CA   90680-3549  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=3326922&original_query_string=ANTONIO DE JESUS HERNANDEZ GUTIERREZ,N/A
CARRIER  ,948102 ,ACTIVE  , ,04/17/2001 ,AJC INC ,ARC IRRIGATION AND LANDSCAPING ,"2196 EAST 3715 SOUTH
SALT LAKE CITY, UT   84109  ",(000) 274-1411  ,"2196 EAST 3715 SOUTH
SALT LAKE CITY, UT   84109  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=948102&original_query_string=ARC IRRIGATION AND LANDSCAPING,N/A
